Name,Category,Brand,ImageURL,PLU,Barcode,Package,Price
CR-LF QUESILLO 1/16 OZ CJ 8 (UNIDAD),Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/357_CR-8168.png,357,CR-810118990083,Por unidad,7.49
CR-NATURAS SOFRITO CRIOLLO 24/7.1 OZ (200 GRS),Condimentos,Naturas,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/427_CR-5467.png,427,CR-850022820885,Caja x24,38.75
Culantro 40CT,Frutas y Vegetales Frescos,PO Vida,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/491_665aa71c-8ec9-4413-bb7c-c666eac7c89c.JPG,491,4921,Caja x40,30.64
Curry Leaves 121.5oz,Frutas y Vegetales Frescos,,,492,CTD-1156,,30.00
DB MAIZ TRILLADO AMARILLO 6/4 LBS,Granos,Dona Betty,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/287_3400.jpg,287,8341070812684,pack6,35.94
DB MAIZ TRILLADO BLANCO 6/4 LBS,Granos,Dona Betty,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/288_3401.jpg,288,8341070131945,pack6,38.71
DE LA GRANJA JUGO DE NARANJA PET 12/500 ML,Bebidas,De La Granja,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/300_1438.jpg,300,7406189008579,Caja x12,21.36
DE LA GRANJA JUGO DE NARANJA PET 6/ 990 ML.,Bebidas,De la Granja,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/320_1434.jpg,320,7401000707327,Caja x6,21.99
DIANA BACORNS 24/1.48 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/242_6330,242,748757000101,Caja x24,37.99
DIANA CARAMEL CORN 24/4.76 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/243_6331,243,748757000378,Caja x24,37.99
DIANA CHEESTEENS 24/4.05 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/244_6332,244,748757000149,Caja x24,37.99
DIANA CORN CHIPS HOT 24/4.05 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/245_6333,245,748757000187,Caja x24,37.99
DIANA CORN CURLS 24/1.69 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/246_6334.jpg,246,748757000019,Caja x24,37.99
DIANA CORNBRIGHTS 24/4.51 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/247_6337,247,748757000392,Caja x24,37.99
DIANA CORNSTICKS 24/5.57 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/248_6338,248,748757000248,Caja x24,37.99
DIANA CORNSTICKS SPICY/LIME SMALL 24/ 5.6 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/252_6347,252,859267000809,Caja x24,37.99
DIANA HOT CURLS 24/2.32 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/249_6339,249,748757000125,Caja x24,37.99
DIANA JALAPENOS 24/3.84 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/250_6340,250,748757001085,Caja x24,37.99
DIANA NACHOS 24/3.52 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/251_6341,251,748757000224,Caja x24,37.99
DIANA TOZTECAS ORIGINAL 24/5.29 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/253_6349,253,859267000281,Caja x24,37.99
Dikon Root 40LB,Frutas y Vegetales Frescos,PO Vida,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/441_CTD-1102-Dikon%20Root%2040LB.jpg,441,4598,Caja x40,26.19
DON JULIO CONSOME SABOR A POLLO BOLSA 12/ 380 GRS.,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/299_5612.jpg,299,714258000421,Caja x12,38.30
DON JULIO CUBITOS DE POLLO BOLSITA 48/ 25 UDS 100GR.,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/298_5610.jpg,298,714258009714,Caja x48,51.43
DON JULIO EMPANIZADOR 12/ 9.8 OZ,Harinas,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/303_5202.jpg,303,714258001459,Caja x12,48.75
DON JULIO PIMIENTA Y COMINO JUMBO 230 GRS / 12 UNDS,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/107_5444,107,714258004238,Caja x12,74.30
DON JULIO PIMIENTA Y COMINO PET 70GRS/24 UNDS,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/108_5445,108,714258012271,Caja x24,59.96
DON JULIO SALSA AJO CON PEREJIL 12/ 330 ML.,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/104_5432,104,714258005631,Caja x12,35.16
DON JULIO SALSA DE CHILE CABRO 24/ 165 ML.,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/110_5448,110,7423379705407,Caja x24,42.50
DON JULIO SALSA DE CHILE HABANERO 24/ 165 ML.,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/111_5449,111,7423379705292,Caja x24,43.13
DON JULIO SALSA DE CHILE JALAPENO 24/ 165 ML.,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/159_5447,159,7423379705544,Caja x24,38.25
DON JULIO SALSA INGLESA 12/ 340 ML.,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/102_5419,102,714258016705,Caja x12,28.44
DON JULIO SALSA PICANTE 24/ 240 ML.,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/106_5443,106,714258013988,Caja x24,25.20
DON JULIO SALSA PICANTE 460 ML / 12 UNDS,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/109_5446,109,714258017320,Caja x12,27.50
DON JULIO SALSA SOYA 12/ 12.1 OZ.,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/101_5418,101,714258004139,Caja x12,29.76
DONA NITA CONCHAS 1/4.94OZ CJ 14,Galletas,Dona Nita,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/99_5391,99,810118993022,Por unidad,1.39
DONA NITA CREMA HONDURENA (BAG) 1/14oz CJ 12,Lácteos,Dona Nita,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/190_8316,190,810118992117,Por unidad,3.69
DONA NITA CREMA SALVADORENA (BAG) 1/14oz CJ 12,Lácteos,Dona Nita,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/189_8314,189,810118992087,Por unidad,3.69
DONA NITA QUESO CON CHILE CHAROLA 1/ 14OZ CJ 12,Lácteos,Dona Nita,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/193_8337,193,810118992032,Por unidad,6.99
DONA NITA QUESO MOROLIQUE TABLETA 1/ 14OZ CJ 12,Lácteos,Dona Nita,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/192_8336,192,810118992025,Por unidad,7.13
DONA NITA QUESO PARA FRIJOLES CHAROLA 1/ 14OZ CJ 12,Lácteos,Dona Nita,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/191_8335,191,810118992018,Por unidad,6.99
DONA NITA SEMITA DE YEMA 1/14OZ CJ 12,Galletas,Dona Nita,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/98_5390,98,810118993015,Por unidad,4.32
DUCALES Crackers Pack 12/10.37 Oz,Snacks y Botanas,DUCALES,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/376_CTD-1047.jpeg,376,0200-47416-02977- 9,Caja x12,28.68
DUCALES Crackers Shipper 48PC 10.37Oz,Snacks y Botanas,DUCALES,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/377_CTD-1048.jpeg,377,0300-47416-029776,Caja x48,114.72
DUX CLUBORIG CRACKERS BAG 24/8.82 OZ,Snacks y Botanas,DUX,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/374_CTD-1045.jpeg,374,0100-47416-04095- 1,Caja x24,55.21
DUX SALTINES CRACKERS BAG 18/7.62 OZ,Snacks y Botanas,DUX,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/375_CTD-1046.jpeg,375,0100-47416-23142- 7,Caja x18,41.40
ELECTROLITO COCO CJA 12UND,Bebidas,Electrolit,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/327_CTD-1027.jpeg,327,CTD-1027,Caja x12,22.00
ELECTROLITO FRESA  KIWI CJA 12UND,Bebidas,Electrolit,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/328_CTD-1028.jpeg,328,CTD-1028,Caja x12,22.00
ELECTROLITO FRESA CJA 12UND,Bebidas,Electrolit,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/326_CTD-1026.jpeg,326,CTD-1026,Caja x12,22.00
ELECTROLITO GUAYABA CJA 12UND,Bebidas,Electrolit,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/335_CTD-1035.jpeg,335,CTD-1035,Caja x12,24.00
ELECTROLITO HORCHATA CJA 12UND,Bebidas,Electrolit,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/334_CTD-1034.jpeg,334,CTD-1034,Caja x12,22.00
