Name,Category,Brand,ImageURL,Code,Barcode
KETCHUP BB BOLSA 1/16 OZ CJ 32,Condimentos,BB,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/105_5434,105,738777180457
Kola Granulada Tarrito Rojo 12/11.50 oz.,Abarrotes,JGB,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/205_Kola%20Granulada%2011.5.jpg,205,7707353200295
LA COSTENA GREEN PICKLED CJ24/7 OZ.,Conservas,La costena,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/268_CTD-1006.jpeg,268,CTD-1006
LA COSTENA GREEN PICKLED JALAPENO CJ12/26 OZ.,Conservas,La Costena,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/273_CTD-1011.jpeg,273,CTD-1011
LA COSTENA GREEN PICKLED JALAPENOS CJ12/12  OZ.,Conservas,La costena,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/271_CTD-1009.jpeg,271,CTD-1009
LA COSTENA GREEN PICKLED SLICED CJ12/12OZ.,Conservas,La costena,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/272_CTD-1010.jpeg,272,CTD-1010
LA COSTENA GREEN PICKLED SLICED CJ24/7OZ.,Conservas,La costena,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/267_CTD-1005.jpeg,267,CTD-1005
LA COSTENA IN ADOBO SAUCE CHIPOTLE CJ12/12OZ.,Conservas,La costena,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/270_CTD-1008.jpeg,270,CTD-1008
LA COSTENA IN ADOBO SAUCE CHIPOTLE CJ24/7OZ.,Conservas,La costena,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/269_CTD-1007.jpeg,269,CTD-1007
La Costena Sliced Jalapeno cj12/28oz.,Conservas,La costena,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/274_CTD-1012.jpeg,274,CTD-1012
